name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
One Love,Bob Marley & The Wailers,Reggae Classics,0.025119512848799964,0.10150134908443426,0.06047148368283141,5,0.08608831047697303,1,0.15766990681782653,0.04012417796922414,0.039299214085938255,0.04927105920612105,0.3311008978548718,0.07084211533217967,2GaIku5Q5PRguR8OdpHJXD,0.038511972640799974,4,reggae
One Love / People Get Ready - Medley,Bob Marley & The Wailers,Exodus (Deluxe Edition),0.004389116270107927,0.06528805083192617,0.020884749258624994,10,0.025177392399285577,1,0.65898772746149,0.014877049194761327,0.017626110434975334,0.013318510378858953,0.16037946393554886,0.0065506108706783325,2HcyIzVsX45jLIxK7SH2aI,0.012521218963742609,4,reggae
One Margarita,Luke Bryan,One Margarita,0.13523560591128167,0.10038756878481038,0.18033449788853317,9,0.15057356506293618,1,0.04631203702165143,0.038441207205552254,0.043060043680462026,0.06730921092795913,0.17356029058581904,0.025785753172230953,6NhS5LwYbJ6xD7BGvlWRJO,0.03900021975876386,4,country
One More Light,Linkin Park,One More Light,0.2064762504252302,0.07481525111367318,0.013795847511663201,8,0.04519270677443672,1,0.03697975238446491,0.42573874913309834,0.041810254191201046,0.037242443769060045,0.019021016578176328,0.020296298972172493,3xXBsjrbG1xQIm1xv1cKOt,0.07863142914682344,4,rock
One Night In Bangkok - Radio Edit / From “Chess” / Remastered 2016,Murray Head,One Night In Bangkok (Radio Edit / From “Chess” / Remastered 2016),0.10226322917540337,0.40727048739071536,0.027730472345349706,2,0.04858775057294599,0,0.07355950162100608,0.037122735261695815,0.03143103099820946,0.023052657029073515,0.1848799963813471,0.03591147181860701,1xgqGXZW1udHCjuwjeRDVO,0.028190667405646474,4,disco
One Night Only,Sonder,One Night Only,0.15584753480034833,0.29091557697120046,0.02535780886810798,4,0.10158376626219806,1,0.04966674066418661,0.05089870723617778,0.03465780265117967,0.04620262276202535,0.15387594393101953,0.058767839163537096,74fQgHleHZ4V7Gm1XYcGkj,0.03222565669001924,4,R&B
One Note Samba (Samba De Uma Nota So),Coleman Hawkins,Desafinado,0.006894728498235194,0.06274358039708416,0.011992930324636513,5,0.014811017557514721,0,0.06685344797547334,0.2777463552809005,0.03516175638471351,0.038509203244829995,0.09074706383882594,0.1835588659338813,592YTuk1avr0KT1odWoDCo,0.21098105056390487,4,jazz
One Number Away,Luke Combs,This One's for You,0.20086000783260605,0.05812710958795836,0.13999554837323422,6,0.11656234090685608,0,0.03763955154421419,0.028868798536080723,0.04255624000250266,0.07775413043216593,0.07627650504000971,0.16740632705577543,4gB7HrYHbJVJ5RFOjxmoq4,0.053953440688596754,4,country
One Of Them Girls,Lee Brice,One Of Them Girls,0.17766620106310566,0.09713631540633746,0.14047850572766182,4,0.11461854135775154,1,0.04420769250992551,0.06666109368640105,0.04120868278494937,0.041498102762997785,0.21075638607812025,0.030398041087479604,14GwnOeC9qYEKEA6uOZepa,0.03537043753527012,4,country
One Of These Things First,Nick Drake,Bryter Layter,0.10769106640141515,0.07467452346635768,0.025398858574235968,4,0.010459934486761137,1,0.03707901930934647,0.3257830059331002,0.12588452279796644,0.03642887142857915,0.12006435260432986,0.02380179519255523,0hNVjU6JKydHts0SAjHCno,0.1127340498053526,3,folk
One Of Us,ABBA,The Essential Collection,0.10633538526186383,0.12194075822982506,0.03533418655631252,7,0.02479518960953667,1,0.04965954597644969,0.1509134432495654,0.050991964855692296,0.03866678270477729,0.32021300661167257,0.02324095444754307,6zgtBUEkAfilJ2YEOvNexR,0.07790878249676168,4,disco
One Thing At A Time,Morgan Wallen,One Thing At A Time (Sampler),0.20243908580184652,0.054798503223719416,0.15130045306110146,7,0.09089674688848723,1,0.02366722521649296,0.01841186253013167,0.027276958587293856,0.0812969462316714,0.22117989541421637,0.09976126091537696,6KGtAlYvgm4W9PoYabFAYE,0.02897106212966214,4,country
One Thing Leads to Another (Re-Recorded / Remastered),The Fixx,"Disco Hits of The '70s, '80s & '90s",0.01430371624525966,0.14628875233749963,0.2052591701782803,5,0.09180926210963668,0,0.032119315352273456,0.04477127499483279,0.030481005593749874,0.025781049440674962,0.2752235281456589,0.10795923834226209,0Agg111mIjmqQu6PDCxCd2,0.0260036872598716,4,disco
One Way Or Another - Remastered 2001,Blondie,One Way Or Another,0.07908270711108253,0.026879054599060058,0.15891814583242123,9,0.08641496942375253,1,0.03875940576257578,0.02281739846504649,0.0330430202371245,0.025572816642955378,0.24430229470614698,0.24660456416219764,5Th6EdNVhxp0TPX41ZLZk6,0.03760562305763695,4,rock
One Way Ticket,Eruption,4 Hits: Eruption,0.10759284669517741,0.12845139729408858,0.09712888011491803,1,0.054880970855130384,0,0.035888458167536205,0.06252483174914604,0.035845397572195355,0.02866573743219177,0.33891919979192714,0.06906228979603683,68MSCSP7Y6PnzXcW1IlN7G,0.0410399905316524,4,disco
One Woman,Lloyd Charmers,"Reggae Classic Love Songs, Vol. 2",0.02721551787022876,0.17240377282527297,0.027333682068005273,11,0.02093986460226444,1,0.4930337924646808,0.05499909713295812,0.058189207372593456,0.038314473210434,0.054722105218520785,0.01711784025661659,1Ef5iG4lKhb33gonndqvkp,0.03573064697842481,4,reggae
One Woman Man,Dave Hollister,The Definitive Collection,0.11132282136868649,0.13168793467302609,0.1181054156932294,11,0.14752133080912008,1,0.05280755788621902,0.0466781222404562,0.0610172279697958,0.04577956185439844,0.10687398405294424,0.03785707454902316,6hdsNoZWIjPSjxcOnsjIxj,0.14034896890310106,4,R&B
"One World, One Prayer (feat. Skip Marley, Farruko, Shaggy & Cedella Marley)",The Wailers,"One World, One Prayer (feat. Skip Marley, Farruko, Shaggy & Cedella Marley)",0.033703697978271545,0.060490869064292366,0.0802691552176058,6,0.07770341374998187,0,0.1560253190175673,0.05944204469768687,0.021160066927170127,0.020420976019891,0.17898526319769736,0.29199349900495947,0NjwB0pgNC2ate5QOeHXTu,0.019805695124876423,4,reggae
Onio,Kristoffer Wallin,Onio,0.005474110336045461,0.010129386012957322,0.0041685560189520365,5,0.000816878048295172,0,0.02755036205600725,0.35193576877485505,0.5414532693406269,0.02888822401521296,0.00919559909824169,0.007190227531208315,0BJ74KNxOmZwswyAELVp2K,0.013197618767597872,3,orchestral
